Work Order Number,Customer Number,Name,Address,City,State,OrderDate,DayOfWeek,Latitude,Longitude,Rt,Food Pallets,Pet Food Pallets,Chemical Pallets,Total Pallets,Seq
900577,070,Customer 070,276 Main Street,Brooklyn,NY,02/16/2026,Monday,40.67439672491399,-73.9226282137167,11,0.84,0.0,0.0,0.84,1
900578,084,Customer 084,4880 Main Street,Brooklyn,NY,02/16/2026,Monday,40.66480658774192,-73.9572281363883,15,0.57,0.19,0.25,1.01,1
900580,094,Customer 094,2973 Main Street,Queens,NY,02/16/2026,Monday,40.69384632036886,-73.84342565090739,37,4.72,0.0,0.0,4.72,1
900581,095,Customer 095,642 Main Street,Queens,NY,02/16/2026,Monday,40.68727132626413,-73.82300862324279,38,4.96,0.0,0.0,4.96,1
900582,002,Customer 002,8225 Main Street,Queens,NY,02/17/2026,Tuesday,40.70595191172637,-73.75457110312014,25,0.55,0.06,0.0,0.61,1
900583,011,Customer 011,7702 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.652082455862505,-73.92481650340132,18,1.44,0.0,0.25,1.69,1
900589,036,Customer 036,488 Main Street,New York,NY,02/17/2026,Tuesday,40.80325822563249,-73.93591692391615,14,0.45,0.0,0.3,0.75,1
900584,013,Customer 013,6322 Main Street,New York,NY,02/17/2026,Tuesday,40.81574307418728,-73.9379714247544,14,0.73,0.0,0.0,0.73,2
900587,029,Customer 029,3293 Main Street,Bronx,NY,02/17/2026,Tuesday,40.853619797063494,-73.90831990645347,14,2.0,0.0,0.0,2.0,3
900597,067,Customer 067,9514 Main Street,Bronx,NY,02/17/2026,Tuesday,40.86604266971237,-73.92623623009767,14,0.72,0.0,0.0,0.72,4
900590,041,Customer 041,1515 Main Street,New York,NY,02/17/2026,Tuesday,40.759382235947626,-73.93895415268634,21,0.53,0.0,0.0,0.53,1
900585,015,Customer 015,4831 Main Street,Bronx,NY,02/17/2026,Tuesday,40.82239448550935,-73.91429829435131,21,0.46,0.0,0.0,0.46,2
900586,028,Customer 028,6508 Main Street,Queens,NY,02/17/2026,Tuesday,40.71519521264396,-73.74349772371512,2,0.46,0.35,0.0,0.81,1
900593,056,Customer 056,3015 Main Street,Queens,NY,02/17/2026,Tuesday,40.7572560717902,-73.91514119505781,2,0.99,0.0,0.0,0.99,2
900592,047,Customer 047,4628 Main Street,Manhattan,NY,02/17/2026,Tuesday,40.71773283828544,-73.98411846097412,3,0.61,0.0,0.0,0.61,1
900588,034,Customer 034,8705 Main Street,Manhattan,NY,02/17/2026,Tuesday,40.768896755175966,-73.95610818925888,3,1.22,0.35,0.07,1.64,2
900591,044,Customer 044,1916 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.685443993544496,-73.943950969423,73,0.6,0.0,0.0,0.6,1
900595,063,Customer 063,9460 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.689007393638555,-73.9173641706466,10,3.04,0.0,0.25,3.29,1
900594,062,Customer 062,1840 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.689239848977614,-73.91777406506378,10,1.81,0.0,0.0,1.81,2
900596,066,Customer 066,719 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.66065294279969,-73.87876303673895,1,0.76,0.09,0.25,1.1,1
900598,068,Customer 068,6717 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.63036297971589,-74.08136228889674,17,0.98,0.16,0.0,1.14,1
900601,081,Customer 081,744 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.68024236564245,-73.93137158188019,17,1.22,0.0,0.0,1.22,2
900599,072,Customer 072,7998 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.65171110205392,-73.9191771105472,9,0.4,0.0,0.0,0.4,1
900600,077,Customer 077,6085 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.68010726771517,-73.91396093950846,23,0.75,0.23,0.0,0.98,1
900602,083,Customer 083,5986 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.63287188101084,-74.16028394578468,16,3.44,0.0,0.0,3.44,1
900603,084,Customer 084,684 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.66480658774192,-73.9572281363883,15,0.67,0.23,0.0,0.9,1
900604,087,Customer 087,5141 Main Street,Brooklyn,NY,02/17/2026,Tuesday,40.66150707860249,-73.87346498223229,99,8.97,0.35,0.0,9.32,1
900605,089,Customer 089,5658 Main Street,Bronx,NY,02/17/2026,Tuesday,40.830728643622344,-73.89126472129591,33,7.92,0.0,0.25,8.17,1
900606,018,Customer 018,8245 Main Street,Bronx,NY,02/18/2026,Wednesday,40.84297611177931,-73.84592385676613,31,4.38,0.0,0.0,4.38,1
900607,019,Customer 019,5627 Main Street,Manhattan,NY,02/18/2026,Wednesday,40.778836484045,-73.98329931044094,4,0.83,0.35,0.0,1.18,1
900608,021,Customer 021,9536 Main Street,Brooklyn,NY,02/18/2026,Wednesday,40.68093339365346,-73.94670663597643,18,1.51,0.0,0.0,1.51,1
900609,024,Customer 024,1135 Main Street,Bronx,NY,02/18/2026,Wednesday,40.896883630705474,-73.85135085346376,7,0.62,0.35,0.0,0.97,1
900610,025,Customer 025,9167 Main Street,Brooklyn,NY,02/18/2026,Wednesday,40.69835136729073,-73.9158925078441,8,0.68,0.0,0.0,0.68,1
900611,026,Customer 026,6262 Main Street,Queens,NY,02/18/2026,Wednesday,40.67584687606802,-73.85557337127459,73,3.4,0.0,0.0,3.4,1
900612,028,Customer 028,1560 Main Street,Queens,NY,02/18/2026,Wednesday,40.71519521264396,-73.74349772371512,2,0.51,0.35,0.0,0.86,1
900614,041,Customer 041,3960 Main Street,New York,NY,02/18/2026,Wednesday,40.759382235947626,-73.93895415268634,21,0.58,0.0,0.25,0.83,1
900613,032,Customer 032,2444 Main Street,Bronx,NY,02/18/2026,Wednesday,40.853589534832395,-73.89464414584027,21,0.58,0.0,0.0,0.58,2
900615,055,Customer 055,806 Main Street,Queens,NY,02/18/2026,Wednesday,40.69661296220641,-73.82879015350318,25,8.17,0.03,0.0,8.2,1
900616,060,Customer 060,959 Main Street,Brooklyn,NY,02/18/2026,Wednesday,40.676333247614394,-73.88613509640518,24,0.94,0.12,0.0,1.06,1
900617,067,Customer 067,5436 Main Street,Bronx,NY,02/18/2026,Wednesday,40.86604266971237,-73.92623623009767,14,0.84,0.0,0.0,0.84,1
900618,082,Customer 082,4518 Main Street,Bronx,NY,02/18/2026,Wednesday,40.869718152184745,-73.87892875884225,70,0.89,0.0,0.0,0.89,1
900619,086,Customer 086,2904 Main Street,Bronx,NY,02/18/2026,Wednesday,40.85368960688969,-73.90929502876213,33,0.67,0.0,0.0,0.67,1
900620,092,Customer 092,3863 Main Street,Brooklyn,NY,02/18/2026,Wednesday,40.63740290973405,-73.92010562279191,35,5.08,0.0,0.0,5.08,1
900621,005,Customer 005,9593 Main Street,Queens,NY,02/19/2026,Thursday,40.69747391202919,-73.82905390354207,25,3.02,0.09,0.0,3.11,1
900626,035,Customer 035,3493 Main Street,Queens,NY,02/19/2026,Thursday,40.594970715995146,-73.77416307485291,1,0.72,0.0,0.0,0.72,1
900622,009,Customer 009,7811 Main Street,Queens,NY,02/19/2026,Thursday,40.600009486593315,-73.74405287870175,1,0.6,0.0,0.25,0.85,2
900630,043,Customer 043,9604 Main Street,Queens,NY,02/19/2026,Thursday,40.68152075934443,-73.85443641970784,1,0.43,0.1,0.0,0.53,3
900623,018,Customer 018,3671 Main Street,Bronx,NY,02/19/2026,Thursday,40.84297611177931,-73.84592385676613,31,4.68,0.0,0.0,4.68,1
900624,023,Customer 023,9662 Main Street,Queens,NY,02/19/2026,Thursday,40.76091447600587,-73.88181045003793,5,1.04,0.0,0.06,1.1,1
900628,040,Customer 040,2971 Main Street,Queens,NY,02/19/2026,Thursday,40.76395482312956,-73.91128512522792,5,0.48,0.0,0.0,0.48,2
900625,030,Customer 030,1258 Main Street,Brooklyn,NY,02/19/2026,Thursday,40.63878496266752,-73.97263862633669,17,2.61,0.0,0.0,2.61,1
900627,039,Customer 039,944 Main Street,Bronx,NY,02/19/2026,Thursday,40.84909985735391,-73.92113692416197,70,0.46,0.0,0.0,0.46,1
900629,042,Customer 042,5587 Main Street,Brooklyn,NY,02/19/2026,Thursday,40.63208584532311,-73.96647452968952,9,2.26,0.18,0.0,2.44,1
900631,048,Customer 048,992 Main Street,Queens,NY,02/19/2026,Thursday,40.75405265049564,-73.81832518415463,2,0.6,0.0,0.0,0.6,1
900634,056,Customer 056,3029 Main Street,Queens,NY,02/19/2026,Thursday,40.7572560717902,-73.91514119505781,2,0.95,0.0,0.0,0.95,2
900632,049,Customer 049,2110 Main Street,Bronx,NY,02/19/2026,Thursday,40.84161725986629,-73.90132809233144,7,0.48,0.0,0.0,0.48,1
900633,050,Customer 050,7505 Main Street,Bronx,NY,02/19/2026,Thursday,40.88504380789946,-73.85462851943738,7,1.01,0.0,0.0,1.01,2
900635,075,Customer 075,6845 Main Street,Manhattan,NY,02/19/2026,Thursday,40.70710965261643,-73.94500754484459,6,1.25,0.17,0.0,1.42,1
900636,078,Customer 078,9086 Main Street,Manhattan,NY,02/19/2026,Thursday,40.76169824334662,-73.94957140792144,21,0.66,0.13,0.0,0.79,1
900637,086,Customer 086,7569 Main Street,Bronx,NY,02/19/2026,Thursday,40.85368960688969,-73.90929502876213,33,0.89,0.35,0.0,1.24,1
900638,090,Customer 090,2614 Main Street,Queens,NY,02/19/2026,Thursday,40.66953057344241,-73.7824756165742,34,5.36,0.0,0.0,5.36,1
900639,093,Customer 093,3461 Main Street,Queens,NY,02/19/2026,Thursday,40.692614111895054,-73.84437929166077,36,4.53,0.0,0.0,4.53,1
900640,004,Customer 004,6728 Main Street,New York,NY,02/20/2026,Friday,40.81882756334608,-73.93725056647254,20,3.65,0.0,0.0,3.65,1
900641,005,Customer 005,2656 Main Street,Queens,NY,02/20/2026,Friday,40.69747391202919,-73.82905390354207,25,3.06,0.14,0.0,3.2,1
900647,061,Customer 061,6354 Main Street,Brooklyn,NY,02/20/2026,Friday,40.598422117306654,-73.94163633556525,15,1.01,0.0,0.0,1.01,1
900642,007,Customer 007,4848 Main Street,Brooklyn,NY,02/20/2026,Friday,40.63116428754058,-73.96665280296365,15,3.26,0.0,0.0,3.26,2
900643,008,Customer 008,9360 Main Street,Bronx,NY,02/20/2026,Friday,40.81813101864817,-73.90411620231987,70,1.55,0.0,0.0,1.55,1
900644,031,Customer 031,8481 Main Street,Bronx,NY,02/20/2026,Friday,40.85734534786821,-73.89474039555732,22,2.18,0.0,0.03,2.21,1
900645,051,Customer 051,1510 Main Street,Queens,NY,02/20/2026,Friday,40.60737229758411,-73.75316746816085,1,0.91,0.0,0.0,0.91,1
900646,054,Customer 054,9777 Main Street,Manhattan,NY,02/20/2026,Friday,40.70449809311375,-73.95658499114683,10,0.52,0.0,0.0,0.52,1
900648,064,Customer 064,7693 Main Street,Brooklyn,NY,02/20/2026,Friday,40.67139788117989,-73.9340888408256,23,1.52,0.19,0.0,1.71,1
900649,068,Customer 068,4813 Main Street,Brooklyn,NY,02/20/2026,Friday,40.63036297971589,-74.08136228889674,17,0.96,0.15,0.0,1.11,1
900650,073,Customer 073,6027 Main Street,Brooklyn,NY,02/20/2026,Friday,40.65052535821618,-73.96218340829046,8,0.76,0.16,0.25,1.17,1
900651,074,Customer 074,7899 Main Street,Bronx,NY,02/20/2026,Friday,40.87654063424415,-73.86675762676278,71,2.43,0.04,0.0,2.47,1
900652,079,Customer 079,7653 Main Street,Brooklyn,NY,02/20/2026,Friday,40.65822719611959,-73.92944076589842,24,1.63,0.13,0.0,1.76,1
900653,080,Customer 080,6973 Main Street,Queens,NY,02/20/2026,Friday,40.67620628689007,-73.74285399139629,2,0.56,0.0,0.0,0.56,1
900654,088,Customer 088,5280 Main Street,Bronx,NY,02/20/2026,Friday,40.85920015425595,-73.90056567901365,31,5.67,0.0,0.0,5.67,1
900672,091,Customer 091,586 Main Street,Queens,NY,02/23/2026,Monday,40.69772873982824,-73.8341823153853,45,0.78,0.0,0.0,0.78,1
900655,001,Customer 001,8044 Main Street,Bronx,NY,02/23/2026,Monday,40.82393494763585,-73.90903906592717,45,3.09,0.0,0.0,3.09,2
900656,003,Customer 003,3187 Main Street,Bronx,NY,02/23/2026,Monday,40.86555164559,-73.88702973397817,19,7.07,0.0,0.0,7.07,1
900657,005,Customer 005,9129 Main Street,Queens,NY,02/23/2026,Monday,40.69747391202919,-73.82905390354207,25,2.96,0.14,0.0,3.1,1
900658,010,Customer 010,6040 Main Street,Brooklyn,NY,02/23/2026,Monday,40.65654070000209,-73.91897014191731,6,0.43,0.35,0.0,0.78,1
900668,059,Customer 059,9175 Main Street,Brooklyn,NY,02/23/2026,Monday,40.67755950741335,-73.91187495774679,6,0.47,0.18,0.0,0.65,2
900659,015,Customer 015,2043 Main Street,Bronx,NY,02/23/2026,Monday,40.82239448550935,-73.91429829435131,21,0.44,0.0,0.0,0.44,1
900660,016,Customer 016,2153 Main Street,Bronx,NY,02/23/2026,Monday,40.854973107257365,-73.86437656576189,21,0.62,0.0,0.0,0.62,2
900661,018,Customer 018,408 Main Street,Bronx,NY,02/23/2026,Monday,40.84297611177931,-73.84592385676613,31,4.07,0.0,0.0,4.07,1
900662,020,Customer 020,8512 Main Street,Queens,NY,02/23/2026,Monday,40.70811449489744,-73.79898444261066,32,0.41,0.0,0.0,0.41,1
900663,021,Customer 021,5042 Main Street,Brooklyn,NY,02/23/2026,Monday,40.68093339365346,-73.94670663597643,18,1.38,0.0,0.25,1.63,1
900664,034,Customer 034,4062 Main Street,Manhattan,NY,02/23/2026,Monday,40.768896755175966,-73.95610818925888,3,1.33,0.0,0.08,1.41,1
900665,044,Customer 044,7877 Main Street,Brooklyn,NY,02/23/2026,Monday,40.685443993544496,-73.943950969423,73,0.56,0.0,0.0,0.56,1
900666,045,Customer 045,3063 Main Street,Brooklyn,NY,02/23/2026,Monday,40.63550402142037,-74.13303054062014,Bronx,0.9,0.0,0.0,0.9,1
900667,056,Customer 056,8188 Main Street,Queens,NY,02/23/2026,Monday,40.7572560717902,-73.91514119505781,2,0.73,0.0,0.0,0.73,1
900669,066,Customer 066,1823 Main Street,Brooklyn,NY,02/23/2026,Monday,40.66065294279969,-73.87876303673895,1,0.72,0.06,0.0,0.78,1
900670,067,Customer 067,6568 Main Street,Bronx,NY,02/23/2026,Monday,40.86604266971237,-73.92623623009767,14,0.81,0.0,0.0,0.81,1
900671,084,Customer 084,7895 Main Street,Brooklyn,NY,02/23/2026,Monday,40.66480658774192,-73.9572281363883,15,0.65,0.26,0.0,0.91,1
900678,036,Customer 036,6335 Main Street,New York,NY,02/24/2026,Tuesday,40.80325822563249,-73.93591692391615,14,0.53,0.0,0.4,0.93,1
900673,013,Customer 013,9055 Main Street,New York,NY,02/24/2026,Tuesday,40.81574307418728,-73.9379714247544,14,0.59,0.0,0.0,0.59,2
900677,029,Customer 029,5879 Main Street,Bronx,NY,02/24/2026,Tuesday,40.853619797063494,-73.90831990645347,14,1.85,0.0,0.0,1.85,3
900685,067,Customer 067,5045 Main Street,Bronx,NY,02/24/2026,Tuesday,40.86604266971237,-73.92623623009767,14,0.7,0.0,0.0,0.7,4
900674,014,Customer 014,2051 Main Street,Manhattan,NY,02/24/2026,Tuesday,40.76099884306126,-73.94084004193822,5,0.67,0.0,0.0,0.67,1
900679,041,Customer 041,1173 Main Street,New York,NY,02/24/2026,Tuesday,40.759382235947626,-73.93895415268634,21,0.46,0.0,0.0,0.46,1
900675,015,Customer 015,638 Main Street,Bronx,NY,02/24/2026,Tuesday,40.82239448550935,-73.91429829435131,21,0.47,0.0,0.0,0.47,2
900676,028,Customer 028,1013 Main Street,Queens,NY,02/24/2026,Tuesday,40.71519521264396,-73.74349772371512,2,0.51,0.0,0.0,0.51,1
900682,056,Customer 056,3405 Main Street,Queens,NY,02/24/2026,Tuesday,40.7572560717902,-73.91514119505781,2,0.69,0.0,0.0,0.69,2
900680,044,Customer 044,7021 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.685443993544496,-73.943950969423,73,0.52,0.35,0.0,0.87,1
900681,047,Customer 047,6288 Main Street,Manhattan,NY,02/24/2026,Tuesday,40.71773283828544,-73.98411846097412,3,0.56,0.0,0.0,0.56,1
900684,063,Customer 063,9797 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.689007393638555,-73.9173641706466,10,3.34,0.0,0.0,3.34,1
900683,062,Customer 062,3800 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.689239848977614,-73.91777406506378,10,1.72,0.0,0.0,1.72,2
900686,081,Customer 081,4489 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.68024236564245,-73.93137158188019,17,1.17,0.0,0.0,1.17,1
900687,083,Customer 083,9375 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.63287188101084,-74.16028394578468,16,3.96,0.0,0.0,3.96,1
900688,084,Customer 084,4038 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.66480658774192,-73.9572281363883,15,0.46,0.2,0.0,0.66,1
900689,087,Customer 087,1155 Main Street,Brooklyn,NY,02/24/2026,Tuesday,40.66150707860249,-73.87346498223229,99,8.75,0.0,0.0,8.75,1
900690,089,Customer 089,9950 Main Street,Bronx,NY,02/24/2026,Tuesday,40.830728643622344,-73.89126472129591,33,6.26,0.0,0.0,6.26,1
900699,041,Customer 041,2099 Main Street,New York,NY,02/25/2026,Wednesday,40.759382235947626,-73.93895415268634,21,0.49,0.0,0.0,0.49,1
900691,015,Customer 015,1141 Main Street,Bronx,NY,02/25/2026,Wednesday,40.82239448550935,-73.91429829435131,21,0.6,0.0,0.0,0.6,2
900698,032,Customer 032,445 Main Street,Bronx,NY,02/25/2026,Wednesday,40.853589534832395,-73.89464414584027,21,0.48,0.0,0.0,0.48,3
900692,018,Customer 018,2402 Main Street,Bronx,NY,02/25/2026,Wednesday,40.84297611177931,-73.84592385676613,31,4.5,0.35,0.0,4.85,1
900693,019,Customer 019,9609 Main Street,Manhattan,NY,02/25/2026,Wednesday,40.778836484045,-73.98329931044094,4,0.82,0.0,0.0,0.82,1
900694,021,Customer 021,2103 Main Street,Brooklyn,NY,02/25/2026,Wednesday,40.68093339365346,-73.94670663597643,18,1.25,0.0,0.0,1.25,1
900695,024,Customer 024,7028 Main Street,Bronx,NY,02/25/2026,Wednesday,40.896883630705474,-73.85135085346376,7,0.79,0.0,0.0,0.79,1
900696,025,Customer 025,6790 Main Street,Brooklyn,NY,02/25/2026,Wednesday,40.69835136729073,-73.9158925078441,8,0.67,0.0,0.0,0.67,1
900697,026,Customer 026,1950 Main Street,Queens,NY,02/25/2026,Wednesday,40.67584687606802,-73.85557337127459,73,3.98,0.0,0.0,3.98,1
900700,045,Customer 045,5029 Main Street,Brooklyn,NY,02/25/2026,Wednesday,40.63550402142037,-74.13303054062014,Bronx,1.04,0.0,0.0,1.04,1
900701,067,Customer 067,9073 Main Street,Bronx,NY,02/25/2026,Wednesday,40.86604266971237,-73.92623623009767,14,0.81,0.0,0.0,0.81,1
900702,082,Customer 082,6822 Main Street,Bronx,NY,02/25/2026,Wednesday,40.869718152184745,-73.87892875884225,70,1.04,0.0,0.0,1.04,1
900703,086,Customer 086,4716 Main Street,Bronx,NY,02/25/2026,Wednesday,40.85368960688969,-73.90929502876213,33,0.71,0.0,0.0,0.71,1
900704,005,Customer 005,7127 Main Street,Queens,NY,02/26/2026,Thursday,40.69747391202919,-73.82905390354207,25,2.98,0.09,0.0,3.07,1
900705,009,Customer 009,7533 Main Street,Queens,NY,02/26/2026,Thursday,40.600009486593315,-73.74405287870175,1,0.53,0.35,0.0,0.88,1
900706,018,Customer 018,4736 Main Street,Bronx,NY,02/26/2026,Thursday,40.84297611177931,-73.84592385676613,31,4.09,0.0,0.0,4.09,1
900707,030,Customer 030,3576 Main Street,Brooklyn,NY,02/26/2026,Thursday,40.63878496266752,-73.97263862633669,17,3.09,0.0,0.0,3.09,1
900708,039,Customer 039,9901 Main Street,Bronx,NY,02/26/2026,Thursday,40.84909985735391,-73.92113692416197,70,0.69,0.0,0.0,0.69,1
900709,040,Customer 040,6341 Main Street,Queens,NY,02/26/2026,Thursday,40.76395482312956,-73.91128512522792,5,0.58,0.35,0.0,0.93,1
900710,049,Customer 049,8790 Main Street,Bronx,NY,02/26/2026,Thursday,40.84161725986629,-73.90132809233144,7,0.6,0.0,0.0,0.6,1
900711,050,Customer 050,8279 Main Street,Bronx,NY,02/26/2026,Thursday,40.88504380789946,-73.85462851943738,7,0.89,0.0,0.0,0.89,2
900712,056,Customer 056,5228 Main Street,Queens,NY,02/26/2026,Thursday,40.7572560717902,-73.91514119505781,2,0.85,0.0,0.0,0.85,1
900713,086,Customer 086,3579 Main Street,Bronx,NY,02/26/2026,Thursday,40.85368960688969,-73.90929502876213,33,0.91,0.0,0.0,0.91,1
900714,093,Customer 093,2098 Main Street,Queens,NY,02/26/2026,Thursday,40.692614111895054,-73.84437929166077,36,4.73,0.0,0.25,4.98,1
900715,005,Customer 005,9835 Main Street,Queens,NY,02/27/2026,Friday,40.69747391202919,-73.82905390354207,25,2.93,0.1,0.0,3.03,1
900716,006,Customer 006,7523 Main Street,Manhattan,NY,02/27/2026,Friday,40.80740818873632,-73.96565982955099,4,0.74,0.35,0.0,1.09,1
900717,007,Customer 007,9425 Main Street,Brooklyn,NY,02/27/2026,Friday,40.63116428754058,-73.96665280296365,15,3.87,0.0,0.0,3.87,1
900718,008,Customer 008,1009 Main Street,Bronx,NY,02/27/2026,Friday,40.81813101864817,-73.90411620231987,70,1.62,0.0,0.0,1.62,1
900719,031,Customer 031,6458 Main Street,Bronx,NY,02/27/2026,Friday,40.85734534786821,-73.89474039555732,22,2.16,0.0,0.03,2.19,1
900720,051,Customer 051,5021 Main Street,Queens,NY,02/27/2026,Friday,40.60737229758411,-73.75316746816085,1,0.77,0.0,0.0,0.77,1
900721,064,Customer 064,7683 Main Street,Brooklyn,NY,02/27/2026,Friday,40.67139788117989,-73.9340888408256,23,1.36,0.18,0.0,1.54,1
900722,068,Customer 068,7554 Main Street,Brooklyn,NY,02/27/2026,Friday,40.63036297971589,-74.08136228889674,17,1.05,0.12,0.0,1.17,1
900723,074,Customer 074,4348 Main Street,Bronx,NY,02/27/2026,Friday,40.87654063424415,-73.86675762676278,71,2.06,0.02,0.0,2.08,1
900724,078,Customer 078,6737 Main Street,Manhattan,NY,02/27/2026,Friday,40.76169824334662,-73.94957140792144,21,0.55,0.1,0.0,0.65,1
900725,080,Customer 080,6010 Main Street,Queens,NY,02/27/2026,Friday,40.67620628689007,-73.74285399139629,2,0.7,0.0,0.0,0.7,1
900726,083,Customer 083,3226 Main Street,Brooklyn,NY,02/27/2026,Friday,40.63287188101084,-74.16028394578468,16,4.28,0.35,0.0,4.63,1
900727,085,Customer 085,2478 Main Street,Brooklyn,NY,02/27/2026,Friday,40.6758490834141,-73.87795663986044,11,1.02,0.13,0.0,1.15,1
900728,001,Customer 001,7464 Main Street,Bronx,NY,03/02/2026,Monday,40.82393494763585,-73.90903906592717,45,4.29,0.0,0.0,4.29,1
900729,003,Customer 003,229 Main Street,Bronx,NY,03/02/2026,Monday,40.86555164559,-73.88702973397817,19,8.55,0.0,0.25,8.8,1
900730,005,Customer 005,9580 Main Street,Queens,NY,03/02/2026,Monday,40.69747391202919,-73.82905390354207,25,2.65,0.1,0.0,2.75,1
900731,010,Customer 010,8093 Main Street,Brooklyn,NY,03/02/2026,Monday,40.65654070000209,-73.91897014191731,6,0.53,0.0,0.0,0.53,1
900746,059,Customer 059,4121 Main Street,Brooklyn,NY,03/02/2026,Monday,40.67755950741335,-73.91187495774679,6,0.48,0.16,0.0,0.64,2
900732,013,Customer 013,6934 Main Street,New York,NY,03/02/2026,Monday,40.81574307418728,-73.9379714247544,14,0.68,0.0,0.0,0.68,1
900743,052,Customer 052,8388 Main Street,Bronx,NY,03/02/2026,Monday,40.84586642009279,-73.89820757611032,14,1.25,0.0,0.0,1.25,2
900748,067,Customer 067,8576 Main Street,Bronx,NY,03/02/2026,Monday,40.86604266971237,-73.92623623009767,14,0.78,0.0,0.0,0.78,3
900733,015,Customer 015,7247 Main Street,Bronx,NY,03/02/2026,Monday,40.82239448550935,-73.91429829435131,21,0.54,0.0,0.0,0.54,1
900734,018,Customer 018,5656 Main Street,Bronx,NY,03/02/2026,Monday,40.84297611177931,-73.84592385676613,31,3.72,0.0,0.0,3.72,1
900735,020,Customer 020,6495 Main Street,Queens,NY,03/02/2026,Monday,40.70811449489744,-73.79898444261066,32,0.57,0.0,0.0,0.57,1
900736,021,Customer 021,7838 Main Street,Brooklyn,NY,03/02/2026,Monday,40.68093339365346,-73.94670663597643,18,1.6,0.0,0.0,1.6,1
900749,069,Customer 069,1107 Main Street,Queens,NY,03/02/2026,Monday,40.68901703882041,-73.80356301377114,2,0.61,0.08,0.0,0.69,1
900737,022,Customer 022,1512 Main Street,Queens,NY,03/02/2026,Monday,40.70649711069442,-73.756756602347,2,0.7,0.0,0.0,0.7,2
900745,056,Customer 056,7860 Main Street,Queens,NY,03/02/2026,Monday,40.7572560717902,-73.91514119505781,2,0.91,0.35,0.0,1.26,3
900738,027,Customer 027,3531 Main Street,Brooklyn,NY,03/02/2026,Monday,40.687360434885576,-73.98066195659537,9,0.61,0.0,0.0,0.61,1
900739,033,Customer 033,5633 Main Street,Bronx,NY,03/02/2026,Monday,40.88677507240233,-73.85199192252,7,1.0,0.0,0.0,1.0,1
900740,034,Customer 034,4324 Main Street,Manhattan,NY,03/02/2026,Monday,40.768896755175966,-73.95610818925888,3,1.64,0.0,0.06,1.7,1
900742,046,Customer 046,1769 Main Street,Manhattan,NY,03/02/2026,Monday,40.773204917119784,-73.95678092820883,3,1.44,0.0,0.0,1.44,2
900741,045,Customer 045,1917 Main Street,Brooklyn,NY,03/02/2026,Monday,40.63550402142037,-74.13303054062014,Bronx,1.04,0.0,0.0,1.04,1
900744,053,Customer 053,2357 Main Street,Queens,NY,03/02/2026,Monday,40.7618627220245,-73.88916852512102,5,2.5,0.0,0.0,2.5,1
900747,066,Customer 066,6027 Main Street,Brooklyn,NY,03/02/2026,Monday,40.66065294279969,-73.87876303673895,1,0.75,0.1,0.0,0.85,1
900750,070,Customer 070,9513 Main Street,Brooklyn,NY,03/02/2026,Monday,40.67439672491399,-73.9226282137167,11,0.64,0.0,0.0,0.64,1
900751,083,Customer 083,6718 Main Street,Brooklyn,NY,03/02/2026,Monday,40.63287188101084,-74.16028394578468,16,3.41,0.0,0.0,3.41,1
900752,084,Customer 084,7344 Main Street,Brooklyn,NY,03/02/2026,Monday,40.66480658774192,-73.9572281363883,15,0.5,0.25,0.0,0.75,1
900753,094,Customer 094,9140 Main Street,Queens,NY,03/02/2026,Monday,40.69384632036886,-73.84342565090739,37,5.2,0.0,0.0,5.2,1
900754,095,Customer 095,8946 Main Street,Queens,NY,03/02/2026,Monday,40.68727132626413,-73.82300862324279,38,4.24,0.0,0.25,4.49,1
900755,002,Customer 002,1909 Main Street,Queens,NY,03/03/2026,Tuesday,40.70595191172637,-73.75457110312014,25,0.73,0.05,0.0,0.78,1
900756,011,Customer 011,9628 Main Street,Brooklyn,NY,03/03/2026,Tuesday,40.652082455862505,-73.92481650340132,18,1.26,0.0,0.0,1.26,1
900761,036,Customer 036,8508 Main Street,New York,NY,03/03/2026,Tuesday,40.80325822563249,-73.93591692391615,14,0.51,0.0,0.47,0.98,1
900757,013,Customer 013,5839 Main Street,New York,NY,03/03/2026,Tuesday,40.81574307418728,-73.9379714247544,14,0.7,0.0,0.0,0.7,2
900760,029,Customer 029,7037 Main Street,Bronx,NY,03/03/2026,Tuesday,40.853619797063494,-73.90831990645347,14,2.08,0.0,0.0,2.08,3
